Vessel,Start Lat,Start Lon,End Lat,End Lon
LB,4502.182,6514,4512.973,6440.864
LJ,4503.298857,6514,4513.791143,6442.097714
FM,4504.415714,6514,4514.609286,6443.331429
SL,4505.532571,6514,4515.427429,6444.565143
LB,4506.649429,6514,4516.245571,6445.798857
LJ,4507.766286,6514,4517.063714,6447.032571
FM,4508.883143,6514,4517.881857,6448.266286
SL,4510,6514,4518.7,6449.5
C1,4513.475,6441.48,4515.825,6433
C1,4514.356667,6442.796667,4517.116667,6433
C1,4515.238333,6444.113333,4518.408333,6433
C1,4516.12,6445.43,4519.7,6433
LM,4515,6503,4519,6450
LM,4515.783,6503,4519.467,6451
LM,4516.567,6503,4519.933,6452
LM,4517.35,6503,4520.4,6453
