Vessel,Start Lat,Start Lon,End Lat,End Lon
LM,43.56666667,-66.49333333,43.23333333,-66.49333333
MS,43.56666667,-66.47030303,43.23333333,-66.47030303
FM,43.56666667,-66.44727273,43.23333333,-66.44727273
LB,43.56666667,-66.42424242,43.23333333,-66.42424242
BP,43.56666667,-66.40121212,43.23333333,-66.40121212
LJ,43.56666667,-66.37818182,43.23333333,-66.37818182
LM,43.56666667,-66.35515152,43.23333333,-66.35515152
MS,43.56666667,-66.33212121,43.23333333,-66.33212121
FM,43.56666667,-66.30909091,43.23333333,-66.30909091
LB,43.56666667,-66.28606061,43.23333333,-66.28606061
BP,43.56666667,-66.2630303,43.23333333,-66.2630303
LJ,43.56666667,-66.24,43.23333333,-66.24
LM,43.502,-66.23,43.2475,-66.23
MS,43.502,-66.22045455,43.2475,-66.22045455
FM,43.502,-66.21090909,43.2475,-66.21090909
LB,43.502,-66.20136364,43.2475,-66.20136364
BP,43.502,-66.19181818,43.2475,-66.19181818
LJ,43.502,-66.18227273,43.2475,-66.18227273
LM,43.502,-66.17272727,43.2475,-66.17272727
MS,43.502,-66.16318182,43.2475,-66.16318182
FM,43.502,-66.15363636,43.2475,-66.15363636
LB,43.502,-66.14409091,43.2475,-66.14409091
BP,43.502,-66.13454545,43.2475,-66.13454545
LJ,43.502,-66.125,43.2475,-66.125
