Vessel,Start Lat,Start Lon,End Lat,End Lon
V7,4334,6629.6,4314,6629.6
V6,4334,6628.781481,4314,6628.781481
V5,4334,6627.962963,4314,6627.962963
V4,4334,6627.144444,4314,6627.144444
V3,4334,6626.325926,4314,6626.325926
V2,4334,6625.507407,4314,6625.507407
V1,4334,6624.688889,4314,6624.688889
V7,4334,6623.87037,4314,6623.87037
V6,4334,6623.051852,4314,6623.051852
V5,4334,6622.233333,4314,6622.233333
V4,4334,6621.414815,4314,6621.414815
V3,4334,6620.596296,4314,6620.596296
V2,4334,6619.777778,4314,6619.777778
V1,4334,6618.959259,4314,6618.959259
V7,4334,6618.140741,4314,6618.140741
V6,4334,6617.322222,4314,6617.322222
V5,4334,6616.503704,4314,6616.503704
V4,4334,6615.685185,4314,6615.685185
V3,4334,6614.866667,4314,6614.866667
V2,4334,6614.048148,4314,6614.048148
V1,4330.12,6613.22963,4314.85,6613.22963
V7,4330.12,6612.411111,4314.85,6612.411111
V6,4330.12,6611.592593,4314.85,6611.592593
V5,4330.12,6610.774074,4314.85,6610.774074
V4,4330.12,6609.955556,4314.85,6609.955556
V3,4330.12,6609.137037,4314.85,6609.137037
V2,4330.12,6608.318519,4314.85,6608.318519
V1,4330.12,6607.5,4314.85,6607.5
